Player,Score,Points,Country
Lautarolecu,21,48157,ar
Ulises,19,52165,ar
Janne,14,38779,de
Kristoffer,14,37010,no
Lotta,13,36823,at
JT,10,17851,fm
Hunter,8,31589,us
Raquelita,8,28624,no
JosePisco,2,5835,fr
